Smith,1.006,1.006,1.006
Johnson,0.81,1.816,1.816
Williams,0.699,2.515,2.515
Jones,0.621,3.136,3.136
Brown,0.621,3.757,3.757
Davis,0.48,4.237,4.237
Miller,0.424,4.661,4.661
Wilson,0.339,5,5.000
Moore,0.312,5.312,5.312
Taylor,0.311,5.623,5.623
Anderson,0.311,5.934,5.934
Thomas,0.311,6.245,6.245
Jackson,0.31,6.555,6.555
White,0.279,6.834,6.834
Harris,0.275,7.109,7.109
Martin,0.273,7.382,7.382
Thompson,0.269,7.651,7.651
Garcia,0.254,7.905,7.905
Martinez,0.234,8.139,8.139
Robinson,0.233,8.372,8.372
Clark,0.231,8.603,8.603
Rodriguez,0.229,8.832,8.832
Lewis,0.226,9.058,9.058
Lee,0.22,9.278,9.278
Walker,0.219,9.497,9.497
Hall,0.2,9.697,9.697
Allen,0.199,9.896,9.896
Young,0.193,10.089,10.089
Hernandez,0.192,10.281,10.281
King,0.19,10.471,10.471
Wright,0.189,10.66,10.660
Lopez,0.187,10.847,10.847
Hill,0.187,11.034,11.034
Scott,0.185,11.219,11.219
Green,0.183,11.402,11.402
Adams,0.174,11.576,11.576
Baker,0.171,11.747,11.747
Gonzalez,0.166,11.913,11.913
Nelson,0.162,12.075,12.075
Carter,0.162,12.237,12.237
Mitchell,0.16,12.397,12.397
Perez,0.155,12.552,12.552
Roberts,0.153,12.705,12.705
Turner,0.152,12.857,12.857
Phillips,0.149,13.006,13.006
Campbell,0.149,13.155,13.155
Parker,0.146,13.301,13.301
Evans,0.141,13.442,13.442
Edwards,0.137,13.579,13.579
Collins,0.134,13.713,13.713
Stewart,0.133,13.846,13.846
Sanchez,0.13,13.976,13.976
Morris,0.125,14.101,14.101
Rogers,0.123,14.224,14.224
Reed,0.122,14.346,14.346
Cook,0.12,14.466,14.466
Morgan,0.118,14.584,14.584
Bell,0.117,14.701,14.701
Murphy,0.117,14.818,14.818
Bailey,0.115,14.933,14.933
Rivera,0.113,15.046,15.046
Cooper,0.113,15.159,15.159
Richardson,0.112,15.271,15.271
Cox,0.11,15.381,15.381
Howard,0.11,15.491,15.491
Ward,0.108,15.599,15.599
Torres,0.108,15.707,15.707
Peterson,0.107,15.814,15.814
Gray,0.106,15.92,15.920
Ramirez,0.105,16.025,16.025
James,0.105,16.13,16.130
Watson,0.103,16.233,16.233
Brooks,0.103,16.336,16.336
Kelly,0.102,16.438,16.438
Sanders,0.1,16.538,16.538
Price,0.099,16.637,16.637
Bennett,0.099,16.736,16.736
Wood,0.098,16.834,16.834
Barnes,0.097,16.931,16.931
Ross,0.096,17.027,17.027
Henderson,0.095,17.122,17.122
Coleman,0.095,17.217,17.217
Jenkins,0.095,17.312,17.312
Perry,0.094,17.406,17.406
Powell,0.093,17.499,17.499
Long,0.092,17.591,17.591
Patterson,0.092,17.683,17.683
Hughes,0.092,17.775,17.775
Flores,0.092,17.867,17.867
Washington,0.092,17.959,17.959
Butler,0.091,18.05,18.050
Simmons,0.091,18.141,18.141
Foster,0.091,18.232,18.232
Gonzales,0.087,18.319,18.319
Bryant,0.087,18.406,18.406
Alexander,0.085,18.491,18.491
Russell,0.085,18.576,18.576
Griffin,0.084,18.66,18.660
Diaz,0.084,18.744,18.744
Hayes,0.083,18.827,18.827
Myers,0.083,18.91,18.910
Ford,0.082,18.992,18.992
Hamilton,0.082,19.074,19.074
Graham,0.082,19.156,19.156
Sullivan,0.081,19.237,19.237
Wallace,0.081,19.318,19.318
Woods,0.08,19.398,19.398
Cole,0.08,19.478,19.478
West,0.08,19.558,19.558
Jordan,0.078,19.636,19.636
Owens,0.078,19.714,19.714
Reynolds,0.078,19.792,19.792
Fisher,0.077,19.869,19.869
Ellis,0.077,19.946,19.946
Harrison,0.076,20.022,20.022
Gibson,0.075,20.097,20.097
Mcdonald,0.075,20.172,20.172
Cruz,0.075,20.247,20.247
Marshall,0.075,20.322,20.322
Ortiz,0.075,20.397,20.397
Gomez,0.075,20.472,20.472
Murray,0.074,20.546,20.546
Freeman,0.074,20.62,20.620
Wells,0.073,20.693,20.693
